segment_id,recording_id,ego_id,ego_driving_direction,window_start_frame,window_end_frame,anchor_frame,ego_anchor_lane_id,ego_anchor_speed_mps,num_slots_present_at_anchor,event_risk,peak_risk_frame,peak_risk_offset,peak_slot_name,peak_neighbor_id,peak_pair_risk,peak_instant_risk,peak_instant_frame,peak_instant_offset,num_untracked_candidates,max_untracked_pair_risk,max_untracked_neighbor_id,max_untracked_risk_frame,untracked_risk_exceeds_tracked_peak,risk_trace_row,same_front_id,same_front_window_presence_fraction,same_rear_id,same_rear_window_presence_fraction,left_front_id,left_front_window_presence_fraction,left_rear_id,left_rear_window_presence_fraction,right_front_id,right_front_window_presence_fraction,right_rear_id,right_rear_window_presence_fraction,max_sei_instant,max_sei_raw_margin,max_sei_ellipse_intrusion,max_sei_longitudinal_deficit,max_sei_lateral_deficit,max_sei_bbox_overlap
nat_02_001084_024600,2,1084,1,24600,24749,24600,3,27.120067210828577,3,1.2768068313598633,24749,149,same_front,1083,0.8217225670814514,0.684744656085968,24600,0,5,0.0,-1,-1,0,2733,1083,1.0,1086,1.0,-1,0.0,-1,0.0,1081,1.0,-1,0.0,0.684744656085968,0.8217225670814514,0.8217225670814514,0.9515737891197203,0.6296296119689941,0.0
nat_36_002054_024885,36,2054,1,24885,25034,24885,4,34.99046466484382,2,1.250898361206055,25034,149,same_front,2051,0.7537988424301147,0.6674556732177734,24939,54,8,0.0,-1,-1,0,92157,2051,1.0,-1,0.0,-1,0.0,-1,0.0,2043,1.0,-1,0.0,0.6674556732177734,0.7537988424301147,0.7537988424301147,0.6737777590751648,0.5928900837898254,0.0
nat_53_001274_014135,53,1274,1,14135,14284,14135,4,33.09000015258789,2,1.2493523359298706,14284,149,same_front,1273,0.775458574295044,0.6890676617622375,14135,0,11,0.0,-1,-1,0,145690,1273,1.0,-1,0.0,-1,0.0,-1,0.0,1267,1.0,-1,0.0,0.6890676617622375,0.775458574295044,0.775458574295044,0.7269916534423828,0.4613893032073974,0.0
nat_33_000459_005076,33,459,2,5076,5225,5076,6,32.220100537736144,2,1.2458652257919312,5225,149,same_front,457,0.7592887282371521,0.6729326248168945,5076,0,11,0.0,-1,-1,0,81188,457,1.0,-1,0.0,-1,0.0,-1,0.0,458,1.0,-1,0.0,0.6729326248168945,0.7592887282371521,0.7592887282371521,0.9589696526527404,0.4797763228416443,0.0
nat_35_001707_023339,35,1707,1,23339,23488,23339,4,35.19256130462209,2,1.2427059412002563,23488,149,same_front,1706,0.7923731803894043,0.7059503793716431,23372,33,3,0.0,-1,-1,0,88817,1706,1.0,-1,0.0,-1,0.0,-1,0.0,1705,1.0,-1,0.0,0.7059503793716431,0.7923731803894043,0.7923731803894043,0.9625137448310852,0.9039466977119446,0.0
nat_59_000541_008588,59,541,2,8588,8737,8588,7,42.461525199452254,2,1.2292914390563965,8737,149,same_front,539,0.7461174130439758,0.6597931981086731,8721,133,4,0.0,-1,-1,0,159216,539,1.0,-1,0.0,-1,0.0,-1,0.0,536,1.0,-1,0.0,0.6597931981086731,0.7461174130439758,0.7461174130439758,0.929646611213684,0.5848900079727173,0.0
nat_12_001275_010260,12,1275,2,10260,10409,10260,6,36.24011343326508,2,1.2241960763931274,10409,149,same_front,1273,0.7599692344665527,0.673611581325531,10394,134,6,0.0,-1,-1,0,18622,1273,1.0,-1,0.0,-1,0.0,-1,0.0,1269,1.0,-1,0.0,0.673611581325531,0.7599692344665527,0.7599692344665527,0.8082318902015686,0.6444602012634277,0.0
nat_60_001448_023710,60,1448,1,23710,23859,23710,5,39.11010416429932,2,1.2230573892593384,23859,149,same_front,1447,0.7366138100624084,0.6503148078918457,23730,20,4,0.0,-1,-1,0,161302,1447,1.0,-1,0.0,-1,0.0,-1,0.0,1443,1.0,-1,0.0,0.6503148078918457,0.7366138100624084,0.7366138100624084,0.6681328415870667,0.5015576481819153,0.0
nat_39_001014_014345,39,1014,2,14345,14494,14345,6,30.32179548613168,2,1.22032630443573,14494,149,same_front,1009,0.7591543793678284,0.6727986335754395,14345,0,6,0.0,-1,-1,0,100095,1009,1.0,-1,0.0,-1,0.0,-1,0.0,1010,1.0,-1,0.0,0.6727986335754395,0.7591543793678284,0.7591543793678284,0.9562106132507324,0.6006389856338501,0.0
nat_55_000636_007007,55,636,1,7007,7156,7007,4,33.68048129939974,2,1.2194095849990845,7156,149,same_front,634,0.7469142079353333,0.6605879664421082,7007,0,7,0.6628345251083374,645,7061,0,151153,634,1.0,-1,0.0,-1,0.0,-1,0.0,633,1.0,-1,0.0,0.6605879664421082,0.7469142079353333,0.7469142079353333,0.7282146215438843,0.6081888675689697,0.0
nat_49_000799_009514,49,799,1,9514,9663,9514,4,35.09011556990461,2,1.2168530225753784,9663,149,same_front,797,0.7455054521560669,0.6591828465461731,9586,72,9,0.1524732857942581,801,9663,0,134233,797,1.0,-1,0.0,-1,0.0,-1,0.0,796,1.0,-1,0.0,0.6591828465461731,0.7455054521560669,0.7455054521560669,0.7416524291038513,0.511957049369812,0.0
nat_23_001261_022538,23,1261,1,22538,22687,22538,3,27.32014793748085,2,1.213328242301941,22687,149,same_front,1259,0.7534012794494629,0.667059063911438,22538,0,8,0.5319859981536865,1263,22598,0,42677,1259,1.0,-1,0.0,-1,0.0,-1,0.0,1260,1.0,-1,0.0,0.667059063911438,0.7534012794494629,0.7534012794494629,0.9548638463020324,0.6493995785713196,0.0
nat_05_000933_021581,5,933,1,21581,21730,21581,4,39.520922764877774,2,1.2130399942398071,21730,149,same_front,929,0.7456713914871216,0.6593483686447144,21665,84,4,0.0,-1,-1,0,5987,929,1.0,-1,0.0,-1,0.0,-1,0.0,932,1.0,-1,0.0,0.6593483686447144,0.7456713914871216,0.7456713914871216,0.944491446018219,0.5336120128631592,0.0
nat_37_001779_023714,37,1779,2,23714,23863,23714,6,35.711019792479064,2,1.2127864360809326,23863,149,same_front,1777,0.7441374063491821,0.6578183174133301,23863,149,3,0.0,-1,-1,0,95350,1777,1.0,-1,0.0,-1,0.0,-1,0.0,1775,1.0,-1,0.0,0.6578183174133301,0.7441374063491821,0.7441374063491821,0.9632014036178588,0.7740113139152527,0.0
nat_24_000616_011575,24,616,2,11575,11724,11575,5,37.31999969482422,2,1.2096256017684937,11724,149,same_front,615,0.7368893027305603,0.6505895256996155,11618,43,5,0.0,-1,-1,0,43605,615,1.0,-1,0.0,-1,0.0,-1,0.0,613,1.0,-1,0.0,0.6505895256996155,0.7368893027305603,0.7368893027305603,0.9573559165000916,0.7601343393325806,0.0
nat_24_001085_019915,24,1085,1,19915,20064,19915,3,42.419999347634594,2,1.2055180072784424,20064,149,same_front,1083,0.7689799070358276,0.6826024055480957,20021,106,4,0.0,-1,-1,0,44274,1083,1.0,-1,0.0,-1,0.0,-1,0.0,1084,1.0,-1,0.0,0.6826024055480957,0.7689799070358276,0.7689799070358276,0.9676461219787598,0.6951451897621155,0.0
nat_33_000372_004256,33,372,2,4256,4405,4256,6,32.220001220703125,3,1.2050524950027466,4404,148,same_front,370,0.783679723739624,0.6468256115913391,4308,52,3,0.0,-1,-1,0,81061,370,0.9933333333333332,-1,0.0,-1,0.0,-1,0.0,364,1.0,369,1.0,0.6468256115913391,0.783679723739624,0.783679723739624,0.9534391760826112,0.6155325174331665,0.0
nat_12_001953_016318,12,1953,2,16318,16467,16318,6,35.64000079256644,3,1.1985329389572144,16467,149,right_front,1948,0.7884023785591125,0.6530876159667969,16404,86,8,0.0,-1,-1,0,20050,1947,1.0,1952,1.0,-1,0.0,-1,0.0,1948,1.0,-1,0.0,0.6530876159667969,0.7884023785591125,0.7884023785591125,0.7919613718986511,0.8408656716346741,0.0
nat_06_001124_024121,6,1124,2,24121,24270,24121,6,40.93089084038464,1,1.1983548402786257,24270,149,right_front,1123,0.6982511878013611,0.6982511878013611,24245,124,3,0.0,-1,-1,0,7501,-1,0.0,-1,0.0,-1,0.0,-1,0.0,1123,1.0,-1,0.0,0.6982511878013611,0.6982511878013611,0.6982511878013611,0.6372696161270142,0.8065857291221619,0.0
nat_49_001017_012222,49,1017,1,12222,12371,12222,4,38.64010420318086,2,1.1953290700912476,12371,149,same_front,1015,0.7343130111694336,0.6480203866958618,12222,0,4,0.0,-1,-1,0,134540,1015,1.0,-1,0.0,-1,0.0,-1,0.0,1014,1.0,-1,0.0,0.6480203866958618,0.7343130111694336,0.7343130111694336,0.6705198287963867,0.5928753018379211,0.0
nat_29_001425_018594,29,1425,2,18594,18743,18594,7,33.43043254887171,2,1.191194772720337,18743,149,same_front,1424,0.7482850551605225,0.6619554162025452,18717,123,6,0.0,-1,-1,0,70528,1424,1.0,-1,0.0,-1,0.0,-1,0.0,1422,1.0,-1,0.0,0.6619554162025452,0.7482850551605225,0.7482850551605225,0.9495607018470764,0.618040144443512,0.0
nat_37_000928_012709,37,928,2,12709,12858,12709,7,30.90999984741211,2,1.190081000328064,12842,133,same_front,927,0.8012860417366028,0.7148480415344238,12791,82,6,0.63459312915802,929,12855,0,94171,927,1.0,-1,0.0,926,1.0,-1,0.0,-1,0.0,-1,0.0,0.7148480415344238,0.8012860417366028,0.8012860417366028,0.9005075097084045,0.9087430238723756,0.0
nat_47_000501_004951,47,501,2,4951,5100,4951,6,34.330095043852296,2,1.188352346420288,5100,149,same_front,500,0.7329334020614624,0.646644651889801,5027,76,3,0.0,-1,-1,0,126868,500,1.0,-1,0.0,-1,0.0,-1,0.0,498,1.0,-1,0.0,0.646644651889801,0.7329334020614624,0.7329334020614624,0.6466624736785889,0.550561785697937,0.0
nat_41_001083_012102,41,1083,1,12102,12251,12102,4,40.75009938638977,2,1.1854346990585327,12251,149,same_front,1081,0.7574301958084106,0.6710784435272217,12225,123,3,0.39173024892807,1090,12167,0,106374,1081,1.0,-1,0.0,-1,0.0,-1,0.0,1078,1.0,-1,0.0,0.6710784435272217,0.7574301958084106,0.7574301958084106,0.9679436087608336,0.7871137857437134,0.0
nat_41_002215_025873,41,2215,2,25873,26022,25873,6,33.310487710197584,2,1.1849867105484009,26022,149,same_front,2214,0.7339427471160889,0.647651195526123,25873,0,11,0.4950092732906341,2217,25888,0,107916,2214,1.0,-1,0.0,-1,0.0,-1,0.0,2216,1.0,-1,0.0,0.647651195526123,0.7339427471160889,0.7339427471160889,0.9368273615837096,0.6226770877838135,0.0
nat_51_000391_004440,51,391,1,4440,4589,4440,4,40.19035816729527,2,1.1826924085617063,4589,149,same_front,390,0.7872090339660645,0.7007954716682434,4440,0,6,0.2794687151908874,392,4584,0,139084,390,1.0,-1,0.0,-1,0.0,-1,0.0,389,1.0,-1,0.0,0.7007954716682434,0.7872090339660645,0.7872090339660645,0.9635883569717408,0.5848900079727173,0.0
nat_12_002562_021381,12,2562,1,21381,21530,21381,4,32.36000061035156,2,1.1826790571212769,21530,149,same_front,2561,0.71872478723526,0.6324787139892578,21421,40,11,0.3450759053230285,2565,21458,0,21159,2561,1.0,-1,0.0,-1,0.0,-1,0.0,2560,1.0,-1,0.0,0.6324787139892578,0.71872478723526,0.71872478723526,0.7056866884231567,0.5848900079727173,0.0
nat_54_001624_018199,54,1624,1,18199,18348,18199,4,37.4401067996422,3,1.181678056716919,18348,149,same_front,1623,0.763427734375,0.6266565322875977,18281,82,3,0.3634667694568634,1627,18213,0,149406,1623,1.0,-1,0.0,-1,0.0,-1,0.0,1618,1.0,1625,1.0,0.6266565322875977,0.763427734375,0.763427734375,0.8714286684989929,0.5682210922241211,0.0
nat_09_001142_021356,9,1142,1,21356,21505,21356,4,33.57043013592626,2,1.1777904033660889,21505,149,same_front,1141,0.7253087759017944,0.639042317867279,21400,44,11,0.0,-1,-1,0,11522,1141,1.0,-1,0.0,-1,0.0,-1,0.0,1140,1.0,-1,0.0,0.639042317867279,0.7253087759017944,0.7253087759017944,0.9468810558319092,0.5318351984024048,0.0
nat_13_002597_023437,13,2597,1,23437,23586,23437,4,31.27634615204488,2,1.1755107641220093,23586,149,same_front,2596,0.736985445022583,0.6506854295730591,23437,0,15,0.6157330870628357,2598,23448,0,25869,2596,1.0,-1,0.0,-1,0.0,-1,0.0,2595,1.0,-1,0.0,0.6506854295730591,0.736985445022583,0.736985445022583,0.9614046812057496,0.7085285782814026,0.0
nat_16_000532_012851,16,532,1,12851,13000,12851,3,39.960911236317536,1,1.17244291305542,13000,149,right_front,530,0.6330069899559021,0.6330069899559021,12962,111,4,0.0,-1,-1,0,32912,-1,0.0,-1,0.0,-1,0.0,-1,0.0,530,1.0,-1,0.0,0.6330069899559021,0.6330069899559021,0.6330069899559021,0.5229066014289856,0.7368420958518982,0.0
nat_36_002530_030833,36,2530,2,30833,30982,30833,6,34.35047008666252,2,1.1722629070281982,30982,149,same_front,2528,0.7127953171730042,0.6265684962272644,30909,76,5,0.0,-1,-1,0,92947,2528,1.0,-1,0.0,-1,0.0,-1,0.0,2525,1.0,-1,0.0,0.6265684962272644,0.7127953171730042,0.7127953171730042,0.6052358746528625,0.4727426469326019,0.0
nat_22_000374_006961,22,374,2,6961,7110,6961,5,25.181447841108064,2,1.1700433492660522,7110,149,same_front,372,0.742918848991394,0.6566029191017151,6961,0,11,0.0,-1,-1,0,40363,372,1.0,-1,0.0,-1,0.0,-1,0.0,375,1.0,-1,0.0,0.6566029191017151,0.742918848991394,0.742918848991394,0.9479841589927672,0.5928753018379211,0.0
nat_40_001061_012615,40,1061,1,12615,12764,12615,4,40.69035374928789,2,1.169811725616455,12764,149,same_front,1059,0.7149390578269958,0.6287051439285278,12714,99,7,0.3025576472282409,1062,12764,0,103087,1059,1.0,-1,0.0,-1,0.0,-1,0.0,1060,1.0,-1,0.0,0.6287051439285278,0.7149390578269958,0.7149390578269958,0.9663766026496888,0.6081888675689697,0.0
nat_52_001447_017123,52,1447,2,17123,17272,17123,6,35.20000076293945,2,1.169344782829285,17272,149,same_front,1444,0.7147068977355957,0.6284737586975098,17219,96,7,0.1708511412143707,1448,17142,0,143172,1444,1.0,-1,0.0,-1,0.0,-1,0.0,1443,1.0,-1,0.0,0.6284737586975098,0.7147068977355957,0.7147068977355957,0.9638065099716188,0.5682210922241211,0.0
nat_22_000217_004350,22,217,2,4350,4499,4350,5,29.680108121685613,2,1.167194962501526,4499,149,same_front,216,0.7255606055259705,0.639293372631073,4443,93,8,0.0,-1,-1,0,40116,216,1.0,-1,0.0,-1,0.0,-1,0.0,209,1.0,-1,0.0,0.639293372631073,0.7255606055259705,0.7255606055259705,0.6893002390861511,0.5015576481819153,0.0
nat_26_000535_005296,26,535,1,5296,5445,5296,4,12.990003620232192,4,1.1662588119506836,5445,149,right_front,496,0.9078555703163148,0.7348313927650452,5393,97,13,0.0,-1,-1,0,55218,529,1.0,542,1.0,-1,0.0,-1,0.0,496,1.0,533,1.0,0.7348313927650452,0.9078555703163148,0.9078555703163148,0.9229718446731568,0.8012027144432068,8.724611282348633
nat_56_000946_012434,56,946,2,12434,12583,12434,6,34.770466373568546,2,1.165929913520813,12583,149,same_front,945,0.7130131721496582,0.6267856359481812,12526,92,4,0.0,-1,-1,0,154385,945,1.0,-1,0.0,-1,0.0,-1,0.0,941,1.0,-1,0.0,0.6267856359481812,0.7130131721496582,0.7130131721496582,0.6320253610610962,0.6429846286773682,0.0
nat_49_001970_024396,49,1970,2,24396,24545,24396,6,34.630468867461744,2,1.1657081842422483,24545,149,same_front,1969,0.7419636249542236,0.6556501984596252,24519,123,4,0.0,-1,-1,0,135748,1969,1.0,-1,0.0,-1,0.0,-1,0.0,1968,1.0,-1,0.0,0.6556501984596252,0.7419636249542236,0.7419636249542236,0.8107876777648926,0.6676636934280396,0.0
nat_29_000532_006598,29,532,2,6598,6747,6598,6,29.49283426560681,3,1.165000081062317,6747,149,same_front,531,0.7679524421691895,0.6311615705490112,6679,81,9,0.0,-1,-1,0,69257,531,1.0,-1,0.0,-1,0.0,-1,0.0,526,1.0,534,1.0,0.6311615705490112,0.7679524421691895,0.7679524421691895,0.7388806343078613,0.8605737090110779,0.0
nat_24_001195_022265,24,1195,2,22265,22414,22265,5,29.420550717002403,2,1.1617064476013184,22414,149,same_front,1194,0.7112665772438049,0.6250448822975159,22265,0,8,0.3736584186553955,1198,22294,0,44415,1194,1.0,-1,0.0,-1,0.0,-1,0.0,1187,1.0,-1,0.0,0.6250448822975159,0.7112665772438049,0.7112665772438049,0.6913305521011353,0.6376725435256958,0.0
nat_31_000319_003868,31,319,2,3868,4017,3868,7,24.13999938964844,3,1.161369562149048,4017,149,same_front,318,0.7614164352416992,0.624654233455658,3946,78,13,0.0,-1,-1,0,75674,318,1.0,-1,0.0,317,1.0,-1,0.0,315,1.0,-1,0.0,0.624654233455658,0.7614164352416992,0.7614164352416992,0.7101895213127136,0.511957049369812,0.0
nat_15_000874_017151,15,874,1,17151,17300,17151,3,42.99037850865183,2,1.157747745513916,17300,149,same_front,873,0.7538148760795593,0.6674716472625732,17300,149,4,0.0,-1,-1,0,32193,873,1.0,-1,0.0,-1,0.0,-1,0.0,871,1.0,-1,0.0,0.6674716472625732,0.7538148760795593,0.7538148760795593,0.9653783440589904,0.6006389856338501,0.0
nat_55_002013_024116,55,2013,2,24116,24265,24116,6,32.62012308862134,2,1.1570290327072144,24265,149,same_front,2012,0.7102786302566528,0.6240602731704712,24248,132,7,0.0,-1,-1,0,153006,2012,1.0,-1,0.0,-1,0.0,-1,0.0,2010,1.0,-1,0.0,0.6240602731704712,0.7102786302566528,0.7102786302566528,0.6248481273651123,0.490835040807724,0.0
nat_09_000343_006625,9,343,2,6625,6774,6625,7,32.771112736793434,1,1.1568400859832764,6774,149,same_front,342,0.6368582248687744,0.6368582248687744,6625,0,6,0.0,-1,-1,0,10678,342,1.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,0.6368582248687744,0.6368582248687744,0.6368582248687744,0.5354035496711731,0.4565955698490143,0.0
nat_20_000223_004028,20,223,2,4028,4177,4028,5,28.750563472783885,2,1.1561816930770874,4177,149,same_front,222,0.7171134352684021,0.6308724880218506,4078,50,7,0.0,-1,-1,0,37090,222,1.0,-1,0.0,-1,0.0,-1,0.0,219,1.0,-1,0.0,0.6308724880218506,0.7171134352684021,0.7171134352684021,0.6403682827949524,0.6006389856338501,0.0
nat_43_001361_015351,43,1361,2,15351,15500,15351,7,28.75,2,1.155456781387329,15500,149,same_front,1359,0.7116770148277283,0.6254538893699646,15351,0,13,0.0,-1,-1,0,113436,1359,1.0,-1,0.0,-1,0.0,-1,0.0,1357,1.0,-1,0.0,0.6254538893699646,0.7116770148277283,0.7116770148277283,0.9638552069664,0.490835040807724,0.0
nat_55_001613_018595,55,1613,1,18595,18744,18595,4,33.64048095580861,2,1.1545119285583496,18744,149,same_front,1611,0.721403181552887,0.6351486444473267,18641,46,9,0.0,-1,-1,0,152452,1611,1.0,-1,0.0,-1,0.0,-1,0.0,1609,1.0,-1,0.0,0.6351486444473267,0.721403181552887,0.721403181552887,0.6511281728744507,0.5848900079727173,0.0
nat_46_001352_014454,46,1352,1,14454,14603,14454,3,37.82866993863279,3,1.1535426378250122,14597,143,left_front,1350,0.8352451324462891,0.6982315182685852,14528,74,4,0.0,-1,-1,0,124017,1348,1.0,-1,0.0,1350,1.0,-1,0.0,1344,1.0,-1,0.0,0.6982315182685852,0.8352451324462891,0.8352451324462891,0.960699498653412,0.9188005924224854,0.0
nat_22_000339_006384,22,339,1,6384,6533,6384,3,26.330615184323666,2,1.1507041454315186,6533,149,same_front,337,0.7100121378898621,0.623794674873352,6448,64,11,0.0,-1,-1,0,40309,337,1.0,-1,0.0,-1,0.0,-1,0.0,336,1.0,-1,0.0,0.623794674873352,0.7100121378898621,0.7100121378898621,0.660642683506012,0.6363967061042786,0.0
nat_23_001214_021870,23,1214,1,21870,22019,21870,3,27.90999984741211,2,1.149951696395874,22019,149,same_front,1212,0.7078282237052917,0.6216182708740234,22018,148,11,0.4521131813526153,1215,21965,0,42613,1212,1.0,-1,0.0,-1,0.0,-1,0.0,1213,1.0,-1,0.0,0.6216182708740234,0.7078282237052917,0.7078282237052917,0.9569987058639526,0.6184087991714478,0.0
nat_28_001058_013205,28,1058,2,13205,13354,13205,6,31.28010298826168,2,1.1493799686431885,13354,149,same_front,1056,0.718883216381073,0.6326366066932678,13205,0,8,0.0,-1,-1,0,66561,1056,1.0,-1,0.0,-1,0.0,-1,0.0,1057,1.0,-1,0.0,0.6326366066932678,0.718883216381073,0.718883216381073,0.9584648609161376,0.5015576481819153,0.0
nat_43_000631_007381,43,631,1,7381,7530,7381,4,37.510430203931264,2,1.1467972993850708,7530,149,same_front,628,0.7311305403709412,0.6448469758033752,7381,0,8,0.0,-1,-1,0,112402,628,1.0,-1,0.0,-1,0.0,-1,0.0,630,1.0,-1,0.0,0.6448469758033752,0.7311305403709412,0.7311305403709412,0.965017795562744,0.6155325174331665,0.0
nat_25_001599_016591,25,1599,2,16591,16740,16591,6,28.6299991607666,2,1.1457936763763428,16740,149,same_front,1597,0.7054129242897034,0.6192113757133484,16712,121,10,0.0,-1,-1,0,49574,1597,1.0,-1,0.0,-1,0.0,-1,0.0,1598,1.0,-1,0.0,0.6192113757133484,0.7054129242897034,0.7054129242897034,0.7882453799247742,0.4797763228416443,0.0
nat_56_000365_004606,56,365,2,4606,4755,4606,6,38.390421372261365,2,1.145115613937378,4755,149,same_front,364,0.7034788727760315,0.6172842383384705,4735,129,5,0.0,-1,-1,0,153643,364,1.0,-1,0.0,-1,0.0,-1,0.0,361,1.0,-1,0.0,0.6172842383384705,0.7034788727760315,0.7034788727760315,0.6724368333816528,0.818672776222229,0.0
nat_55_000832_009279,55,832,2,9279,9428,9279,6,34.93011625116962,2,1.143951416015625,9428,149,same_front,831,0.7362493872642517,0.6499513983726501,9279,0,8,0.0,-1,-1,0,151417,831,1.0,-1,0.0,-1,0.0,-1,0.0,829,1.0,-1,0.0,0.6499513983726501,0.7362493872642517,0.7362493872642517,0.9639723300933838,0.4683679044246673,0.0
nat_55_001505_017362,55,1505,2,17362,17511,17362,6,34.201842144122104,2,1.1436957120895386,17511,149,same_front,1504,0.7117696404457092,0.6255462169647217,17362,0,7,0.6825647354125977,1506,17372,0,152318,1504,1.0,-1,0.0,-1,0.0,-1,0.0,1503,1.0,-1,0.0,0.6255462169647217,0.7117696404457092,0.7117696404457092,0.96587473154068,0.7635913491249084,0.0
nat_23_000819_014885,23,819,1,14885,15034,14885,3,27.480001361741312,2,1.1435554027557373,15034,149,same_front,818,0.7021645307540894,0.6159746050834656,14885,0,11,0.2219764292240142,825,14950,0,42001,818,1.0,-1,0.0,-1,0.0,-1,0.0,816,1.0,-1,0.0,0.6159746050834656,0.7021645307540894,0.7021645307540894,0.7240387201309204,0.5928753018379211,0.0
nat_02_000400_009082,2,400,2,9082,9231,9082,5,38.380001068115234,2,1.1427241563796997,9231,149,same_front,398,0.7023975253105164,0.6162067651748657,9098,16,3,0.0,-1,-1,0,1876,398,1.0,-1,0.0,-1,0.0,-1,0.0,397,1.0,-1,0.0,0.6162067651748657,0.7023975253105164,0.7023975253105164,0.9648066759109496,0.6617336273193359,0.0
